Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Access Type,Source,EID
"Richter H.","Change detection in dynamic fitness landscapes: An immunological approach",2009,"2009 World Congress on Nature and Biologically Inspired Computing, NABIC 2009 - Proceedings",,, 5393482,"719","724",,6,10.1109/NABIC.2009.5393482,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949625501&doi=10.1109%2fNABIC.2009.5393482&partnerID=40&md5=a2806ee895a3003268a90dcb939cef01","Detecting the point in time where a dynamic fitness landscape changes is vital for a considerable number of diversity management schemes that used in evolutionary algorithms employed for solving dynamic optimization problems. Here, we introduce a change detector based on principles of artificial immune systems, namely a negative selection algorithm. We show in numerical experiments that such an immunological approach allows to solve the change detection problem successfully for dynamic fitness landscapes. ©2009 IEEE.",Conference Paper,,Scopus,2-s2.0-77949625501
"Wang B., Zhang Q., Wei X.","On the lower bounds of DNA word sets for DNA computing",2009,"BIC-TA 2009 - Proceedings, 2009 4th International Conference on Bio-Inspired Computing: Theories and Applications",,, 5338069,"384","388",,,10.1109/BICTA.2009.5338069,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-74049139608&doi=10.1109%2fBICTA.2009.5338069&partnerID=40&md5=a7ed1506b9360e9f9165d6723f1ad0c3","DNA computing is a new research field, which has been paid attention to by more and more experts with the DNA computing bringing the flying development of Mathematics, Computer Science and other subjects. Because the DNA coding could decrease the emergence of false negative and false positive, it affects the reliability and the accuracy of DNA computing. In the DNA coding, DNA word sets could provide the best and effective DNA sequences which are used in DNA computing to improve the reliability and accuracy of biochemical reaction. However, there are no entire and exact values which satisfy combinational constraints, which induce many problems in DNA coding. For this reason, in this paper, we use the dynamic genetic algorithm to improve lower bounds of DNA word sets which satisfy combinational constraints. By comparing our experimental results with previous researchful work, the results improve the lower bounds and further shorten the value range of DNA word sets. ©2009 IEEE.",Conference Paper,,Scopus,2-s2.0-74049139608
"Suresh K., Kundu D., Ghosh S., Das S., Abraham A.","IWO with increased deviation and stochastic selection (IWO-ID-SS) for global optimization of noisy fitness functions",2009,"2009 World Congress on Nature and Biologically Inspired Computing, NABIC 2009 - Proceedings",,, 5393694,"215","220",,7,10.1109/NABIC.2009.5393694,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949600054&doi=10.1109%2fNABIC.2009.5393694&partnerID=40&md5=b444df2efb0615ab56f619c80749ec6a","Invasive weed optimization (IWO) has been found to be a simple but powerful algorithm for function optimization over continuous spaces. It has reportedly outperformed many types of evolutionary algorithms and other search heuristics when tested over both benchmark and real-world problems. However the performance of most search heuristics deteriorates severely when applied to the task of optimization of noisy landscapes. This paper presents an improved IWO algorithm to effectively find the global optima of noisy functions. This is achieved by using an increased value of standard deviation, changing the manner of its reduction to linear and by employing a novel selection strategy which varies from the one use in the standard IWO. An extensive performance comparison of the newly proposed scheme, the original DE (DE/Rand/1/Exp), the canonical PSO, standard real-coded EA, and DE-RSF-TS has been presented using well-known benchmarks corrupted by zero-mean Gaussian noise. It has been found that the proposed method outperforms the others in a statistically significant way. ©2009 IEEE.",Conference Paper,,Scopus,2-s2.0-77949600054
"Liang Y.","Efficient fitness estimation and genetic operation in dynamic environments",2009,"2009 1st International Conference on Information Science and Engineering, ICISE 2009",,, 5454460,"207","210",,,10.1109/ICISE.2009.538,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952773299&doi=10.1109%2fICISE.2009.538&partnerID=40&md5=23dc37342de1afa823f1e3b6873548e1","This paper introduces efficient fitness estimation and particle swarm operations for dynamic optimization problems in evolutionary computation. This fitness estimation method allows static evolutionary optimization approaches to be extended to efficiently explore global and better local optimal areas in dynamic fitness landscapes. It represents a single individual as a pair of real-valued vector (x, r) ∈ Rn x R2 in the evolutionary search population. The first vector x corresponds to a point in the n-dimensional search space (an object variable vector), while the second vector r represents the dynamic fitness value and the dynamic tendency of the individual x in the dynamic environment. r is the control variable (also called strategy variable), which allow self-adaptation. The object variable vector x is operated by different genetic operations according to its corresponding r. As a case study, we have integrated the new fitness estimation method into Particle Swarm Optimization (PSO), yielding an Particle Swarm Optimization in dynamic environments (PSODE). PSODE is experimentally tested with 5 benchmark dynamic problems. The results all demonstrate that PSODE outperforms other PSO on dynamic optimization problems. ©2009 IEEE.",Conference Paper,,Scopus,2-s2.0-77952773299
"Liang Y.","A novel genetic variable representation for dynamic optimization problems in evolutionary computation",2009,"ACM International Conference Proceeding Series","321",,,"45","52",,1,10.1145/1644993.1645002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954735675&doi=10.1145%2f1644993.1645002&partnerID=40&md5=400c3fcc6a48eb462ce2401f346ba0ee","This paper introduces a novel genetic variable representation for dynamic optimization problems in evolutionary computation. This variable representation allows static evolutionary optimization approaches to be extended to efficiently explore global and better local optimal areas in dynamic fitness landscapes. It represents a single individual as a pair of real-valued vector (x, r) ε Rn x R2 in the evolutionary search population. The first vector x corresponds to a point in the n-dimensional search space (an object variable vector), while the second vector r represents the dynamic fitness value and the dynamic tendency of the individual x in the dynamic environment. r is the control variable (also called strategy variable), which allow self-adaptation. The object variable vector x is operated by different genetic strategies according to its corresponding r. As a case study, we have integrated the new variable representation into Genetic Algorithms (GAs), yielding an Dynamic Optimization Genetic Algorithm (DOGA). DOGA is experimentally tested with 5 benchmark dynamic problems. The results all demonstrate that DOGA consistently outperforms other GAs on dynamic optimization problems. © 2009 ACM.",Conference Paper,,Scopus,2-s2.0-77954735675
"Liang Y.","An new efficient evolutionary approach for dynamic optimization problems",2009,"Proceedings - 2009 IEEE International Conference on Intelligent Computing and Intelligent Systems, ICIS 2009","1",, 5357932,"61","65",,1,10.1109/ICICISYS.2009.5357932,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949608257&doi=10.1109%2fICICISYS.2009.5357932&partnerID=40&md5=272369dd3530406678e9cadef371a9dd","To improve the efficiency of the currently known evolutionary algorithms for dynamic optimization problems, we have proposed a novel variable representation allows static evolutionary optimization approaches to be extended to efficiently explore global and better local optimal areas in dynamic fitness landscapes. It represents a single individual as three real-valued vectors (x,σ,r)∈ Rn x Rn x R2 in the evolutionary search population. The first vector x corresponds to a point in the ndimensional search space (an object variable vector), the second vector describes the search step of x, while the third vector r represents the dynamic fitness value and the dynamic tendency of the individual x in the dynamic environment. σ and r are the control variables (also called strategy variables), which allow selfadaptation. The object variable vector x is operated by different genetic strategies according to its corresponding σ and r. As a case study, we have integrated the new variable representation into Evolution Strategy (ES), yielding an Dynamic Optimization Evolution Strategy (DOES). DOES is experimentally tested with 5 benchmark dynamic problems. The results all demonstrate that DOES outperforms other ES on dynamic optimization problems. ©2009 IEEE.",Conference Paper,,Scopus,2-s2.0-77949608257
"Richter H.","Detecting change in dynamic fitness landscapes",2009,"2009 IEEE Congress on Evolutionary Computation, CEC 2009",,, 4983135,"1613","1620",,50,10.1109/CEC.2009.4983135,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449824649&doi=10.1109%2fCEC.2009.4983135&partnerID=40&md5=d170e1f51b778508d0f003f1c0d88844","Change detection enables an evolutionary algorithm operating in a dynamic environment to respond with undertaking necessary steps for maintaining its performance. We consider two major types of change detection, population-based and sensor-based. For population-based we show its relation to statistical hypothesis testing and analyze it using receiver-operating characteristics. For sensor-based the relationship between detection success and number of employed sensors is studied and the dimensionality problem is addressed. Finally, we discuss how both types of change detection compare to each other. © 2009 IEEE.",Conference Paper,,Scopus,2-s2.0-70449824649
"Zegordi S.H., Beheshti Nia M.A.","Integrating production and transportation scheduling in a two-stage supply chain considering order assignment",2009,"International Journal of Advanced Manufacturing Technology","44","9-10",,"928","939",,11,10.1007/s00170-008-1910-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349280458&doi=10.1007%2fs00170-008-1910-x&partnerID=40&md5=b7c9b794e206cb3fd2ca9fd855c5bf24","This study is concerned with the integration of production and transportation scheduling in a two-stage supply chain environment while considering the assignment of orders to the suppliers. The first stage contains m suppliers distributed in various geographic zones, and the second stage is composed of l vehicles with different speeds and transportation capacities that transport n jobs from the supplier to a manufacturing company. In addition, it is assumed that each job occupies a different vehicle size and could be processed by some permissible suppliers. After modeling the problem as a mixed integer programming problem, a genetic algorithm named dynamic genetic algorithm (DGA) is proposed to solve it. Since this problem has not been mentioned in the literature, DGA performance was evaluated by comparing its outputs with optimum solutions for small-sized problems and to the random search approach for larger problems. Additionally, the performance of the DGA was compared with that of a similar problem from the literature. The results of these comparisons show that the DGA is an excellent approach. In addition, the impact of grouping technology initialization is examined, showing that the quality of the solution was not improved and that there was an increase in the CPU time. © 2009 Springer-Verlag London Limited.",Article,,Scopus,2-s2.0-70349280458
"Tzimeas D., Mangina E.","Dynamic techniques for genetic algorithm-based music systems",2009,"Computer Music Journal","33","3",,"45","60",,6,10.1162/comj.2009.33.3.45,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-73349117173&doi=10.1162%2fcomj.2009.33.3.45&partnerID=40&md5=a3275646766f18b94cfdd0b03046f8bc","Dynamic techniques for Genetic algorithms (GAs)-based on music systems are discussed. GA is widely used in the worlds of computer music and art. These algorithms are well suited to problems in which a search for an optimal candidate encounters maxima within a complex landscape defined by aesthetics. The core of this new algorithmic design is the implementation of an innovative idea to simulate a damped oscillator to calculate the fitness-function coefficients. GA is based on the computer simulation of the evolutionary ideas of natural selection and genetics. The key idea is the simulation of the damped oscillator and the differential equation that describes the phenomenon of balancing around a given equilibrium point. The dynamic GA environment manages to evolve the population, taking into consideration aesthetic parameters that would be difficult to handle by a GA with a static or dynamic fitness function.",Article,,Scopus,2-s2.0-73349117173
"Yu D., Zeng S., Gao S., Yan Z., Shi Y., Yang X., Xiao B.","A dynamic evolutionary algorithm and its application in automated antenna design",2009,"2009 World Summit on Genetic and Evolutionary Computation, 2009 GEC Summit - Proceedings of the 1st ACM/SIGEVO Summit on Genetic and Evolutionary Computation, GEC'09",,,,"929","932",,1,10.1145/1543834.1543976,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650673009&doi=10.1145%2f1543834.1543976&partnerID=40&md5=fa4fd97acfc0b85e09cfe788fc31fdf4","Abstract: An X-band antenna has been designed for NASA's Space Technology 5 (ST5) spacecraft by using genetic algorithm. It had been deployed on schedule on March 22-June 30 2006 and became the first evolved hardware in space. It is known that antenna design is a complicated optimization problem with many constraints. In this paper, we take a different way to solve antenna problems: A dynamic evolutionary algorithm (DEA) is designed for solving general constrained optimization problems and well tested by a kit of benchmark constrained problems firstly. Then the algorithm is used to solve antenna design problems.Simulation results are quite promising. Our evolved antennas are quite competitive with NASA's. The algorithm will be applied in real antenna design in our future work. Copyright 2009 ACM.",Conference Paper,,Scopus,2-s2.0-67650673009
"Woldesenbet Y.G., Yen G.G.","Dynamic evolutionary algorithm with variable relocation",2009,"IEEE Transactions on Evolutionary Computation","13","3",,"500","513",,54,10.1109/TEVC.2008.2009031,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650114632&doi=10.1109%2fTEVC.2008.2009031&partnerID=40&md5=3dec7b49dca7c15737877effc79bb2ce","Many real-world optimization problems have to be solved under the presence of uncertainties. A significant number of these uncertainty problems falls into the dynamic optimization category in which the fitness function varies through time. For this class of problems, an evolutionary algorithm is expected to perform satisfactorily in spite of different degrees and frequencies of change in the fitness landscape. In addition, the dynamic evolutionary algorithm should warrant an acceptable performance improvement to justify the additional computational cost. Effective reuse of previous evolutionary information is a must as it facilitates a faster convergence after a change has occurred. This paper proposes a new dynamic evolutionary algorithm that uses variable relocation to adapt already converged or currently evolving individuals to the new environmental condition. The proposed algorithm relocates those individuals based on their change in function value due to the change in the environment and the average sensitivities of their decision variables to the corresponding change in the objective space. The relocation occurs during the transient stage of the evolutionary process, and the algorithm reuses as much information as possible from the previous evolutionary history. As a result, the algorithm shows improved adaptation and convergence. The newly adapted population is shown to be fitter to the new environment than the original or most randomly generated population. The algorithm has been tested by several dynamic benchmark problems and has shown competitive results compared to some chosen state-of-the-art dynamic evolutionary approaches. © 2009 IEEE.",Article,,Scopus,2-s2.0-67650114632
"Yan Y., Wang D.-W., Wang D.-Z., Wang H.-F.","Multiagent-based evolutionary algorithm for dynamic knapsack problem",2009,"Dongbei Daxue Xuebao/Journal of Northeastern University","30","7",,"948","951",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67849106755&partnerID=40&md5=45c03e53c3b84307dcdec7ad1b9783be","A multiagent-based evolutionary algorithm (MAEA) is proposed to solve the dynamic knapsack problem, where the agents are co-evolving to simulate living organism features so as to find optimum solution. Existing in a grid-like environment, all agents shall compete with their neighborhood to enhance their energy and acquire knowledge through learning in according to statistical data. And the random immigration scheme is introduced into the algorithm to maintain the diversity of the population. Simulation results showed that the MAEA solution with random immigration scheme to dynamic knapsack problem can obtain a better performance than several other similiar genetic algorithms in according to the average-of-generation fitness taken as evaluation indices.",Article,,Scopus,2-s2.0-67849106755
"Weise T., Zapf M., Chiong R., Nebro A.J.","Why is optimization difficult?",2009,"Studies in Computational Intelligence","193",,,"1","50",,26,10.1007/978-3-642-00267-0_1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-65749114527&doi=10.1007%2f978-3-642-00267-0_1&partnerID=40&md5=2ee8c7fd61d58f06bdfbae955263d128","This chapter aims to address some of the fundamental issues that are often encountered in optimization problems, making them difficult to solve. These issues include premature convergence, ruggedness, causality, deceptiveness, neutrality, epistasis, robustness, overfitting, oversimplification, multi-objectivity, dynamic fitness, the No Free Lunch Theorem, etc. We explain why these issues make optimization problems hard to solve and present some possible countermeasures for dealing with them. By doing this, we hope to help both practitioners and fellow researchers to create more efficient optimization applications and novel algorithms. © 2009 Springer-Verlag Berlin Heidelberg.",Editorial,,Scopus,2-s2.0-65749114527
"Awad M., Chehdi K., Nasri A.","Multi-component image segmentation using a hybrid dynamic genetic algorithm and fuzzy C-means",2009,"IET Image Processing","3","2",,"52","62",,30,10.1049/iet-ipr.2007.0213,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-62649132087&doi=10.1049%2fiet-ipr.2007.0213&partnerID=40&md5=09f340595b4fbc398182ef33e361dd77","Image segmentation is an important task in image analysis and processing. Many of the existing methods for segmenting a multi-component image (satellite or aerial) are very slow and require a priori knowledge of the image that could be difficult to obtain. Furthermore, the success of each of these methods depends on several factors, such as the characteristics of the acquired image, resolution limitations, intensity in-homogeneities and the percentage of imperfections induced by the process of image acquisition. Recently, fuzzy C-means (FCM) and Genetic Algorithms were separately used in segmenting multi-component images but neither of them had successfully addressed the above concerns. GA was enhanced using Hill-climbing, randomising, and modified mutation operators, leading to what is called hybrid dynamic genetic algorithm (HDGA). Coupling HDGA and FCM creates an unsupervised segmentation method which could successfully segment two types of multi-component images (Landsat ETM+, and IKONOS II). Comparison with the four different methods FCM, hybrid genetic algorithm (HGA), self-organizing-maps (SOM), and the combination of SOM and HGA (SOM-HGA) reveals that FCM-HDGA segmentation method gives robust and reliable results, and is more time efficient. © 2009 The Institution of Engineering and Technology.",Article,,Scopus,2-s2.0-62649132087
"Bhattacharya M.","Handling uncertainty with a real-coded EA",2008,"GECCO'08: Proceedings of the 10th Annual Conference on Genetic and Evolutionary Computation 2008",,,,"2111","2116",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57349112402&partnerID=40&md5=6a5d5dc9308aa92b80178520e52e69ea","Presence of uncertainty in the search environment of Evolutionary algorithms (EA) interferes with the evaluation and the selection process of EA and adversely affects the performance of the algorithm. Presence of noise also means fitness function can not be evaluated and it has to be estimated instead. Of the various approaches which been tried to handle uncertainty in EA search environment, the more familiar approaches are: introduction of diversity (hyper mutation, random immigrants, special operators); and incorporation of memory of the past (diploidy, case based memory) [6]. In [2], we proposed a method, DPGA (distributed population evolutionary algorithm) that uses a distributed population architecture to simulate a distributed, self-adaptive memory of the solution space. Local regression is used in each sub-population to estimate the fitness. In the current research, we further investigate performance of DPGA for noisy fitness function i.e. fitness of any solution is altered by the addition of a noise term N(μ, σ). 'Noisy' versions of few standard benchmark problems have been considered in the simulation runs of the DPGA algorithm.",Conference Paper,,Scopus,2-s2.0-57349112402
"Zhang Q., Wang B., Zhang R., Xu C.-X.","Genetic algorithm-based design for DNA sequences sets",2008,"Jisuanji Xuebao/Chinese Journal of Computers","31","12",,"2193","2199",,12,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149295562&partnerID=40&md5=c46fac8520d168eeaf4a7c41cdbceac2","Both the quality and the quantity of DNA coding sequences immediately affect the reliability and the scale of DNA computing, and how to find more and better DNA sequences which are used in practical applications is the key problems in DNA computing. This paper firstly introduces the significance of DNA coding and DNA sequences sets for DNA computing, and then gives the definitions of the Hamming distance and reverse Hamming distance constraints. The research of DNA sequences sets has important effect on the reliability and the scale of DNA computing, so we use genetic algorithm and dynamic genetic algorithm were used to design the largest DNA sequence sets which satisfy Hamming distance and reverse Hamming distance combinatorial constraints. Comparing the results which are obtained by the two algorithms, it can be proven that the dynamic genetic algorithm is markedly better than genetic algorithm. At the same time, by comparing the obtained experimental results with the previous works, the obtained results improve the upper bounds of DNA coding, and further shorten the value range of DNA coding bounds. Furthermore, the results provide a guide for the research of theoretical bounds in DNA coding and the bounds of 4-ary in coding theory.",Article,,Scopus,2-s2.0-58149295562
[No author name available],"Hybrid Artificial Intelligence Systems - Third International Workshop, HAIS 2008, Proceedings",2008,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5271 LNAI",,,"","",763,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449602480&partnerID=40&md5=da9c84319b0dcec622ed8d0c10824fe3","The proceedings contain 91 papers. The topics discussed include: data mining: algorithms and problems; do smart adaptive systems exist? hybrid intelligent systems perspective; design of experiments in computational intelligence: on the use of statistical inference; nonlinear principal manifolds adaptive hybrid learning approaches; multi-agent ERA model based on belief interaction solves wireless sensor networks routing problem; multi-agent system for management and monitoring of routes surveillance; classification agent-based techniques for detecting intrusions in databases; hybrid multi-agent architecture (HoCa) applied to the control and supervision of patients in their homes; JADE/LEAP agents in an Aml domain; design patterns for combining social and individual intelligences on modular-based agents; agent-based simulation of business processes in a virtual world; temporal-bounded CBR for the management of commitments in RT-agents; and a constrained dynamic evolutionary algorithm with adaptive penalty coefficient.",Conference Review,,Scopus,2-s2.0-70449602480
"Wirth N., Gallagher M.","An influence map model for playing Ms. Pac-Man",2008,"2008 IEEE Symposium on Computational Intelligence and Games, CIG 2008",,, 5035644,"228","233",,30,10.1109/CIG.2008.5035644,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349289679&doi=10.1109%2fCIG.2008.5035644&partnerID=40&md5=a492f12d76f42b8f6650a0cd9fa1957d","In this paper we develop a Ms. Pac-Man playing agent based on an influence map model. The proposed model is as simple as possible while capturing the essentials of the game. Our model has three main parameters that have an intuitive relationship to the agent's behavior. Experimental results are presented exploring the model's performance over its parameter space using random and systematic global exploration and a greedy algorithm. The model parameters can be optimized without difficulty despite the noisy fitness function used. The performance of the optimized agents is comparable to the best published results for a Ms. Pac-Man playing agent. Nevertheless, some difficulties were observed in terms of the model andthe software system. ©2008 IEEE.",Conference Paper,,Scopus,2-s2.0-70349289679
"Xiao B., Yu D., Zhang L., Tian X., Gao S., Zeng S.","A constrained dynamic evolutionary algorithm with adaptive penalty coefficient",2008,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5271 LNAI",,,"103","112",,,10.1007/978-3-540-87656-4_14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350521490&doi=10.1007%2f978-3-540-87656-4_14&partnerID=40&md5=efe3b00dcfa41e0929c433c671cef38e","This paper proposes a new evolutionary algorithm with adaptive penalty coefficient. Firstly, the crossover operator of the new algorithm searches a lower-dimensional neighbor of the parent points, so that the algorithm converges fast, especially for high-dimensional problems. Secondly, the violation values of all constraint functions and the value of the objective function are normalized, and therefore, only one penalty coefficient is needed in the scheme. The penalty coefficient is selected adaptively. It is not too big, so as the algorithm can converge fast, and it is not too small so as the algorithm can avoid local optimal as much as possible. Thirdly, the standard deviation of violation values of the constraint functions is added to the violation item in the penalty function, and therefore, the individuals in the population can evenly approach the feasible region from the infeasible space. We have used the 24 constrained benchmark problems to test the new algorithm. The experimental results show it works better than or competitive to a known effective algorithm [7] © 2008 Springer-Verlag.",Conference Paper,,Scopus,2-s2.0-70350521490
"Awad M., Chehdi K., Nasri A.","Enhancement of the segmentation process of multi-component images using fusion with genetic algorithm",2008,"2008 5th International Multi-Conference on Systems, Signals and Devices, SSD'08",,, 4632876,"","",,2,10.1109/SSD.2008.4632876,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56649109814&doi=10.1109%2fSSD.2008.4632876&partnerID=40&md5=2499155b8de8174e8f4198f88b796eff","Segmentation is a fundamental stage in image processing since it conditions the quality of interpretation. Fusion in remote sensing has one goal which is to combine different images obtained by different sensors in one image or in different images in order to improve the content and the resolution of these images. In this research, a new fusion method is implemented to improve the segmentation process. This method combines the results of different image segmentation methods or combines the results of the same image segmentation method. The new fusion method consists of a Genetic Algorithm GA) to combine each two segmented images based on the stability factor which is measured by the Functional Model (FM). Experiments conducted on SPOT V, and Landsat 7 ETM+ images proved that this method can provide better results compared to the results obtained from using two different segmentation methods. Two methods ate used in these experiments, Self-Organizing Map and Hybrid Dynamic Genetic Algorithm cooperation method (SOM-HGA) and the Iterative Self-Organizing Data (ISODATA) method. ©2008 IEEE.",Conference Paper,,Scopus,2-s2.0-56649109814
"Prestwich S., Tarim S.A., Rossi R., Hnich B.","A steady-state genetic algorithm with resampling for noisy inventory control",2008,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5199 LNCS",,,"559","568",,6,10.1007/978-3-540-87700-4_56,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56449086193&doi=10.1007%2f978-3-540-87700-4_56&partnerID=40&md5=0c1e4ca3086eeeba0d51ab87670d2941","Noisy fitness functions occur in many practical applications of evolutionary computation. A standard technique for solving these problems is fitness resampling but this may be inefficient or need a large population, and combined with elitism it may overvalue chromosomes or reduce genetic diversity. We describe a simple new resampling technique called Greedy Average Sampling for steady-state genetic algorithms such as GENITOR. It requires an extra runtime parameter to be tuned, but does not need a large population or assumptions on noise distributions. In experiments on a well-known Inventory Control problem it performed a large number of samples on the best chromosomes yet only a small number on average, and was more effective than four other tested techniques. © 2008 Springer-Verlag Berlin Heidelberg.",Conference Paper,,Scopus,2-s2.0-56449086193
"Santana R., Larrañaga P., Lozano J.A.","Component weighting functions for adaptive search with EDAs",2008,"2008 IEEE Congress on Evolutionary Computation, CEC 2008",,, 4631352,"4066","4073",,4,10.1109/CEC.2008.4631352,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55849122303&doi=10.1109%2fCEC.2008.4631352&partnerID=40&md5=dd7bf682975b55811ca510e350395bab","This paper introduces the component weighting approach as a general optimization heuristic to increase the likelihood of escaping from local optima by dynamically modifying the fitness function. The approach is tested on the optimization of the simplified hydrophobic-polar (HP) protein problem using estimation of distribution algorithms (EDAs). We show that the use of component weighting together with statistical information extracted from the set of selected solutions considerably improve the results of EDAs for the HP problem. The paper also elaborates on the use of probabilistic modeling for the definition of dynamic fitness functions and on the use of combinations of models. © 2008 IEEE.",Conference Paper,,Scopus,2-s2.0-55849122303
"Bhattacharya M.","DPGA: A simple distributed population approach to tackle uncertainty",2008,"2008 IEEE Congress on Evolutionary Computation, CEC 2008",,, 4631351,"4061","4065",,1,10.1109/CEC.2008.4631351,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55749106726&doi=10.1109%2fCEC.2008.4631351&partnerID=40&md5=2457ef9cb3c3d153ca2d9c6c4b90d18c","Evolutionary algorithms (EA) have been widely accepted as efficient optimizers for complex real life problems[2]. However, many real life optimization problems involve time-variant noisy environment, which pose major challenges to EA-based optimization. Presence of noise interferes with the evaluation and the selection process of EA and adversely affects the performance of the algorithm[6]. Also presence of noise means fitness function can not be evaluated and it has to be estimated instead. Several approaches have been tried to overcome this problem, such as introduction of diversity (hyper mutation, random immigrants, special operators) or incorporation of memory of the past (diploidy, case based memory)[5]. In this paper we propose a method, DPGA (distributed population genetic algorithm) that uses a distributed population based architecture to simulate a distributed, self-adaptive memory of the solution space. Local regression is used in each sub-population to estimate the fitness. Specific problem category considered is that of optimization of functions with time variant noisy fitness. Successful applications to benchmark test problems ascertain the proposed method's superior performance in terms of both adaptability and accuracy. © 2008 IEEE.",Conference Paper,,Scopus,2-s2.0-55749106726
"Fernandes C.M., Merelo J.J., Rosa A.C.","Tracking extrema in dynamic fitness functions with dissortative mating enetic algorithms",2008,"Proceedings - 8th International Conference on Hybrid Intelligent Systems, HIS 2008",,, 4626606,"59","64",,2,10.1109/HIS.2008.52,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55349083006&doi=10.1109%2fHIS.2008.52&partnerID=40&md5=5d8bcb7298afd0467821fc9e07380770","This paper investigates the behavior of the Adaptive Dissortative Mating Genetic Algorithm (ADMGA) on dynamic problems and compares it with other Genetic Algorithms (GA). ADMGA is a non-random mating algorithm that selects parents according to their Hamming distance, via a self-adjustable threshold value. The resulting method, by keeping population diversity during the run, provides new means for GAs to deal with dynamic problems, which demand high diversity in order to track the optima. Tests conducted on combinatorial and trap functions indicate that ADMGA is more robust than traditional GAs and it is capable of outperforming a previously proposed dissortative scheme on a wide range of tests. © 2008 IEEE.",Conference Paper,,Scopus,2-s2.0-55349083006
[No author name available],"Proceedings - Eighth International Conference on Hybrid Intelligent Systems, HIS 2008",2008,"Proceedings - 8th International Conference on Hybrid Intelligent Systems, HIS 2008",,,,"","",990,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55349136616&partnerID=40&md5=65977237c5204acd6380316aefb0e31e","The proceedings contain 166 papers. The topics discussed include: evolutionary computer vision: a taxonomic tutorial; binary connectives in fuzzy logic; ant colony optimization for continuous domains: application to reservoir operation problems; a simulated annealing algorithm for single objective trans-dimensional optimization problems; multi-ring dispersed particle swarm optimization; prune and plant: a new bloat control method for genetic programming; DANTE-the combination between an ant colony optimization algorithm and a depth search method; implicit user modelling using hybrid meta-heuristics; assignment of students to preferred laboratory groups using a hybrid grouping genetic algorithm; the impact of local search on protein-ligand docking optimization; tracking extrema in dynamic fitness functions with dissortive mating genetic algorithms; and modified harmony search methods for uni-modal and multi-modal optimization.",Conference Review,,Scopus,2-s2.0-55349136616
"Richter H., Yang S.","Memory based on abstraction for dynamic fitness functions",2008,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","4974 LNCS",,,"596","605",,20,10.1007/978-3-540-78761-7_65,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-47249156791&doi=10.1007%2f978-3-540-78761-7_65&partnerID=40&md5=d3f5dda02dc942c923db28cb0d9ed114","This paper proposes a memory scheme based on abstraction for evolutionary algorithms to address dynamic optimization problems. In this memory scheme, the memory does not store good solutions as themselves but as their abstraction, i.e., their approximate location in the search space. When the environment changes, the stored abstraction information is extracted to generate new individuals into the population. Experiments are carried out to validate the abstraction based memory scheme. The results show the efficiency of the abstraction based memory scheme for evolutionary algorithms in dynamic environments. © 2008 Springer-Verlag Berlin Heidelberg.",Conference Paper,,Scopus,2-s2.0-47249156791
