Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Access Type,Source,EID
"Kattan A., Fatima S.","Evolving optimal agendas and strategies for negotiation in dynamic environments",2012,"GECCO'12 - Proceedings of the 14th International Conference on Genetic and Evolutionary Computation Companion",,,,"1435","1436",,1,10.1145/2330784.2330975,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865017835&doi=10.1145%2f2330784.2330975&partnerID=40&md5=65eceb2fa8466167c96395721f27b28c","Dynamic fitness function; Negotiation; RBFN; Surrogate","Dynamic environments; Dynamic fitness function; Negotiation; Optimal strategies; RBFN; Surrogate; Radial basis function networks; Optimization",Conference Paper,,Scopus,2-s2.0-84865017835
"Iacca G., Neri F., Mininno E.","Noise analysis compact differential evolution",2012,"International Journal of Systems Science","43","7",,"1248","1267",,9,10.1080/00207721.2011.598964,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861829870&doi=10.1080%2f00207721.2011.598964&partnerID=40&md5=eb4ae9c2ce4ed3f37ea5db18e8d12af4","compact differential evolution; differential evolution; noise analysis selection scheme; noisy fitness landscape","Algorithmic structure; Compact structures; Comparative analysis; Differential Evolution; Fitness evaluations; Fitness landscape; Measurement device; Minimal cost; Noise amplitude; Noise analysis; Noise environments; Noise levels; Noisy environment; Numerical results; Optimisations; Pair-wise comparison; Probabilistic representation; Real-world problem; Resampling; Selection scheme; Gaussian noise (electronic); Health; Evolutionary algorithms",Article,,Scopus,2-s2.0-84861829870
"Mora A.M., Fernández-Ares A., Merelo-Guervós J.-J., García-Sánchez P.","Dealing with noisy fitness in the design of a RTS game bot",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7248 LNCS",,,"234","244",,10,10.1007/978-3-642-29178-4_24,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859356940&doi=10.1007%2f978-3-642-29178-4_24&partnerID=40&md5=80ff33a6bf6ae3f190c65f7b15d72d5f",,"Decision engines; Experimental section; Rule based; Evolutionary algorithms; Health",Conference Paper,,Scopus,2-s2.0-84859356940
"Richter H.","Analyzing dynamic fitness landscapes of the targeting problem of chaotic systems",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7248 LNCS",,,"83","92",,,10.1007/978-3-642-29178-4_9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859320572&doi=10.1007%2f978-3-642-29178-4_9&partnerID=40&md5=064de7a83ea72949cb4a5362b285859e",,"Control concept; Dynamic optimization problem (DOP); Fitness landscape; Fractal characteristics; Fundamental properties; Chaotic systems; Evolutionary algorithms; Health",Conference Paper,,Scopus,2-s2.0-84859320572
[No author name available],"Applications of Evolutionary Computation - EvoApplications 2012: EvoCOMNET, EvoCOMPLEX, EvoFIN, EvoGAMES, EvoHOT, EvoIASP, EvoNUM, EvoPAR, EvoRISK, EvoSTIM, and EvoSTOC, Proceedings",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7248 LNCS",,,"","",573,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859340289&partnerID=40&md5=9b1dd858b5f60a752d71dae7ae631681",,,Conference Review,,Scopus,2-s2.0-84859340289
"Qi F., Liu X., Ma Y.","Synthesis of neural tree models by improved breeder genetic programming",2012,"Neural Computing and Applications","21","3",,"515","521",,3,10.1007/s00521-010-0451-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858160252&doi=10.1007%2fs00521-010-0451-z&partnerID=40&md5=972ec7d906b994812f001aa5ff016014","Gaussian mutation; Improved breeder genetic programming; Neural tree model; Noisy fitness evaluation; Time series","Gaussian mutation; Neural trees; Noisy fitness evaluation; Parameter optimization; Potential methods; Programming algorithms; Structure optimization; Time series prediction; Algorithms; Forestry; Genetic programming; Structural optimization; Time series; Trees (mathematics); Algorithms; Computer Programing; Forestry; Mathematical Models; Neural Networks; Optimization; Problem Solving; Time Series Analysis",Article,,Scopus,2-s2.0-84858160252
"Yang Q., Zhong X., Lv X., Xiao X., Li Z.","A dynamic genetic algorithm based on numeric encoding",2011,"Proceedings - 2011 International Conference on Computational and Information Sciences, ICCIS 2011",,, 6086422,"1196","1199",,,10.1109/ICCIS.2011.31,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-83755169648&doi=10.1109%2fICCIS.2011.31&partnerID=40&md5=e322819e825f46a9ae5f4f4e2027865e",,"Crossover and mutation; Crossover operations; Dynamic genetic algorithms; Speed of convergence; Genes; Genetic algorithms; Information science; Encoding (symbols)",Conference Paper,,Scopus,2-s2.0-83755169648
[No author name available],"Proceedings - 2011 10th Mexican International Conference on Artificial Intelligence: Advances in Artificial Intelligence and Applications, MICAI 2011 - Proceedings of Special Session",2011,"Proceedings - 2011 10th Mexican International Conference on Artificial Intelligence: Advances in Artificial Intelligence and Applications, MICAI 2011 - Proceedings of Special Session",,,,"","",195,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856084223&partnerID=40&md5=5938e478c0a39ced64774aff75bef26a",,,Conference Review,,Scopus,2-s2.0-84856084223
"Flores D., Cervantes J.","Rank based evolution of real parameters on noisy fitness functions: Evolving a robot neurocontroller",2011,"Proceedings - 2011 10th Mexican International Conference on Artificial Intelligence: Advances in Artificial Intelligence and Applications, MICAI 2011 - Proceedings of Special Session",,, 6119011,"72","76",,1,10.1109/MICAI.2011.40,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856101205&doi=10.1109%2fMICAI.2011.40&partnerID=40&md5=6e118180bbd8f009855a082f7d763abd","Neurocontroller for Robot; Rank Based Evolution; Representation in Reals","Feed-forward artificial neural networks; Fitness functions; Fitness landscape; Neuro controllers; Rank Based Evolution; Real number; Representation in Reals; Selection operators; Algorithms; Neural networks; Intelligent robots",Conference Paper,,Scopus,2-s2.0-84856101205
"Nejadkheirallah M., Sookhtsaraei R., Darvish K., Shahnazi M.","A new genetic-based algorithm for reliable distributed resources",2011,"2011 IEEE 3rd International Conference on Communication Software and Networks, ICCSN 2011",,, 6014946,"511","515",,,10.1109/ICCSN.2011.6014946,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053135908&doi=10.1109%2fICCSN.2011.6014946&partnerID=40&md5=a74ae75e6f6a6c88accb1b77d16dd629","Genetic Algorithm; Grid Computing; Resource Management; Scheduling; SQEFG","Delay Time; Distributed resources; Distributed systems; Dynamic techniques; Efficiency improvement; Enhanced performance; Failure rate; Fault tolerance control; Genetic-based algorithms; Grid environments; Makespan; New parameters; ON dynamics; Processing resources; Processing Time; Resource management; Round trip; SQEFG; User satisfaction; Communication; Fault tolerance; Fault tolerant computer systems; Genetic algorithms; Grid computing; Parameter estimation; Quality of service; Scheduling; Software reliability; Scheduling algorithms",Conference Paper,,Scopus,2-s2.0-80053135908
"Styrcz A., Mrozek J., Mazur G.","A neural-network controlled dynamic evolutionary scheme for global molecular geometry optimization",2011,"International Journal of Applied Mathematics and Computer Science","21","3",,"559","566",,3,10.2478/v10006-011-0044-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053304022&doi=10.2478%2fv10006-011-0044-8&partnerID=40&md5=2ab94bd45ca32316339d87cbf4d21baa","global optimization; memetic algorithm; molecular geometry","Controlled dynamics; Memetic algorithms; Molecular geometries; Molecular systems; Network-controlled; Geometry; Global optimization; Molecular structure; Neural networks; Optimization; Evolutionary algorithms",Article,,Scopus,2-s2.0-80053304022
"Meekhof T., Soule T.","Noise, fitness distribution, and selection intensity in genetic algorithms",2011,"Genetic and Evolutionary Computation Conference, GECCO'11 - Companion Publication",,,,"147","148",,,10.1145/2001858.2001941,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051938067&doi=10.1145%2f2001858.2001941&partnerID=40&md5=e6618818ad0f64978f45b199fb2d31e5","genetic algorithms; noise; selection intensity","Fitness functions; noise; Noise distribution; Selection intensity; Mathematical models; Genetic algorithms",Conference Paper,,Scopus,2-s2.0-80051938067
"Turkey M., Poli R.","A social behaviour evolution approach for evolutionary optimisation",2011,"Genetic and Evolutionary Computation Conference, GECCO'11 - Companion Publication",,,,"527","534",,,10.1145/2001858.2002044,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051935041&doi=10.1145%2f2001858.2002044&partnerID=40&md5=41313ac9875a8f46f276267fd1d1d895","dynamic optimisation problems; evolutionary algorithms; evolutionary game theory; evolutionary optimisation; social adaptive groups; social behaviour evolution","Evolutionary game theory; Evolutionary optimisation; Optimisations; social adaptive groups; Social behaviour; Biology; Distributed computer systems; Game theory; Mathematical models; Optimization; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-80051935041
"Goschin S., Littman M.L., Ackley D.H.","The effects of selection on noisy fitness optimization",2011,"Genetic and Evolutionary Computation Conference, GECCO'11",,,,"2059","2066",,2,10.1145/2001576.2001853,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860404617&doi=10.1145%2f2001576.2001853&partnerID=40&md5=a3c9c4f8ba8e398699370a83055c1aa5","Convergence analysis; Evolutionary noisy optimization; Selection algorithms","Bench-mark problems; Convergence analysis; Empirical results; Fitness functions; Noisy optimization; Objective functions; Optimality; Order statistics; Selection algorithm; Selection mechanism; Selection Rules; Stochastic optimization problems; Tournament selection; Convergence of numerical methods; Health; Optimization; Population statistics; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84860404617
"Cakar E., Tomforde S., Müller-Schloer C.","A role-based imitation algorithm for the optimisation in dynamic fitness landscapes",2011,"IEEE SSCI 2011 - Symposium Series on Computational Intelligence - SIS 2011: 2011 IEEE Symposium on Swarm Intelligence",,, 5952571,"139","146",,5,10.1109/SIS.2011.5952571,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961163695&doi=10.1109%2fSIS.2011.5952571&partnerID=40&md5=94db9953efa97cc9f846d383f65529e4","Organic Computing; population-based optimisation; static and dynamic fitness landscapes","Competing algorithms; Convergence speed; Differential evolution; Dynamic environments; Fitness landscape; High-quality solutions; Operational environments; Optimisations; Organic computing; Particle swarm optimisation; Role assignment; Role-based; Self adaptation; Short periods; Static and dynamic; System elements; Technical systems; Algorithms; Artificial intelligence; Cellular automata; Health; Simulated annealing; Particle swarm optimization (PSO)",Conference Paper,,Scopus,2-s2.0-79961163695
"Yang X., Wang Y., Bigham J., Cuthbert L.","Adaptive CAC using NeuroEvolution to maximize throughput in mobile networks",2011,"2011 IEEE Wireless Communications and Networking Conference, WCNC 2011",,, 5779283,"897","902",,,10.1109/WCNC.2011.5779283,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959287903&doi=10.1109%2fWCNC.2011.5779283&partnerID=40&md5=aceddaa45133f2344b83134f646f8393","Adaptive CAC; constraint optimization; NEAT; noise control","Adaptive CAC; Connection admission control; Constant bandwidth; Constraint optimizations; Delay bound; Flexible bandwidth; Future wireless networks; Hard real-time; Learning approach; Maximize throughput; NEAT; Neuroevolution; QoS constraints; Real-time connections; Bandwidth; Wireless networks; Wireless telecommunication systems; Adaptive control systems",Conference Paper,,Scopus,2-s2.0-79959287903
"Richter H., Dietel F.","Solving dynamic constrained optimization problems with asynchronous change pattern",2011,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6624 LNCS","PART 1",,"334","343",,4,10.1007/978-3-642-20525-5_34,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955839786&doi=10.1007%2f978-3-642-20525-5_34&partnerID=40&md5=b5bf7f6453ad471f313871ace3f83095",,"Change patterns; Constrained optimization problems; Dynamic constraints; Fitness landscape; Numerical experiments; Optimization problems; Synchronization points; Time regime; Change patterns; Constrained optimi-zation problems; Dynamic constraints; Fitness landscape; Numerical experiments; Optimization problems; Synchronization points; Time regime; Constrained optimization; Constrained optimization; Optimization",Conference Paper,,Scopus,2-s2.0-79955839786
"Lou Y.-S., Han X., Wang Y., Song S.-X.","Research on a web services discovery model framework",2010,"2010 International Conference on Computational Intelligence and Software Engineering, CiSE 2010",,, 5676802,"","",,1,10.1109/CISE.2010.5676802,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951607113&doi=10.1109%2fCISE.2010.5676802&partnerID=40&md5=9109d2463dfde3d00c1d785a8938de5d","JUDDI registration database; QoS attribute; The dynamic genetic algorithm; Web services","Composite Web services; Dynamic genetic algorithms; JUDDI registration database; Main module; Operating mechanism; QoS attribute; QoS properties; Service requestors; Web service discovery; Web Services discovery; Artificial intelligence; Database systems; Genetic algorithms; Search engines; Software engineering; Web services",Conference Paper,,Scopus,2-s2.0-79951607113
"Neri F., Caponio A.","A differential evolution for optimisation in noisy environment",2010,"International Journal of Bio-Inspired Computation","2","3-4",,"152","168",,8,10.1504/IJBIC.2010.033085,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054797727&doi=10.1504%2fIJBIC.2010.033085&partnerID=40&md5=924d0def7b007140864713cc7fd49a97","DE; Differential evolution; Noise analysis; Noisy environment; Noisy fitness function; Randomised scale factor",,Article,,Scopus,2-s2.0-80054797727
"Richter H., Dietel F.","Change detection in dynamic fitness landscapes with time-dependent constraints",2010,"Proceedings - 2010 2nd World Congress on Nature and Biologically Inspired Computing, NaBIC 2010",,, 5716271,"580","585",,4,10.1109/NABIC.2010.5716271,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952768226&doi=10.1109%2fNABIC.2010.5716271&partnerID=40&md5=782611ee357f5c00bef424db4f78d8dd",,"Change detection; Change point detection; Dynamic environments; Fitness landscape; Landscape changes; Numerical experiments; Time-dependent constraints; Population statistics",Conference Paper,,Scopus,2-s2.0-79952768226
"Glenn J.","Optimizing genetic algorithm parameters for a stochastic game",2010,"ICEC 2010 - Proceedings of the International Conference on Evolutionary Computation",,,,"199","206",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751494168&partnerID=40&md5=b15d214009d9a7bb15ae07509cd1aee7","Genetic algorithm; Heuristics; Parameter optimization; Stochastic games","Algorithm parameters; Fitness functions; Fixed numbers; Heuristic strategy; Heuristics; Number of samples; Optimization process; Parameter optimization; Population sizes; Sampling schedule; Solitaire game; Stochastic game; Stochastic nature; Test functions; Function evaluation; Health; Optimization; Parameter estimation; Population statistics; Stochastic systems; Genetic algorithms",Conference Paper,,Scopus,2-s2.0-78751494168
"Zheng Z., Zhao Y., Zuo Z., Cao L.","An efficient GA-based algorithm for mining negative sequential patterns",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6118 LNAI","PART 1",,"262","273",,14,10.1007/978-3-642-13657-3_30,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956335303&doi=10.1007%2f978-3-642-13657-3_30&partnerID=40&md5=e3dab31ceb7ffd272dccb6a204206f12","Data mining; Genetic algorithm; Negative sequential pattern; Sequence mining","Crossover and mutation; Effective dynamics; GA-based algorithm; Item sets; Negative sequential pattern; Other algorithms; Pattern mining; Pruning methods; Search spaces; Sequence mining; Sequential patterns; Sequential-pattern mining; Support threshold; Data mining; Genes; Genetic algorithms",Conference Paper,,Scopus,2-s2.0-79956335303
"Sickel K., Hornegger J.","Genetic programming for expert systems",2010,"2010 IEEE World Congress on Computational Intelligence, WCCI 2010 - 2010 IEEE Congress on Evolutionary Computation, CEC 2010",,, 5586200,"","",,1,10.1109/CEC.2010.5586200,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959474471&doi=10.1109%2fCEC.2010.5586200&partnerID=40&md5=c57911945945a327bf6915d7f433a6ea",,"Evolution operator; Fitness calculation; Genetic programming system; Manufacturing process; Multiple inputs; Programming framework; Rule base; Size constraint; Steady state; System control; Artificial intelligence; Biology; Computer systems programming; Expert systems; Genetic algorithms; Software design; Genetic programming",Conference Paper,,Scopus,2-s2.0-79959474471
"Guo J.","A dynamic evolutionary algorithm for multimodal function optimization",2010,"Proceedings - 5th International Conference on Frontier of Computer Science and Technology, FCST 2010",,, 5575742,"266","270",,,10.1109/FCST.2010.53,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957901226&doi=10.1109%2fFCST.2010.53&partnerID=40&md5=1696808901559bbbdb4a949dcecc879e",,"Global optimal point; Local optima; Multimodal function optimization; Multimodal problems; Non-differentiable; Numerical experiments; Particle swarm optimization algorithm; Particle velocities; Premature convergence; PSO algorithms; Speed-ups; Standard PSO; Algorithms; Computer science; Particle swarm optimization (PSO); Convergence of numerical methods",Conference Paper,,Scopus,2-s2.0-77957901226
"Sapargaliyev Y., Kalganova T.G.","Automated synthesis of 8-output voltage distributor using incremental evolution",2010,"2010 NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2010",,, 5546263,"186","193",,,10.1109/AHS.2010.5546263,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956960774&doi=10.1109%2fAHS.2010.5546263&partnerID=40&md5=0818d76eab8601e9ee5eb9cc98909845",,"Analog electronic circuit; Analogue circuits; Automated synthesis; Dynamic fitness function; Input/output; Multi-output; Numerical values; Output voltages; Voltage signals; Automation; Function evaluation; Biology",Conference Paper,,Scopus,2-s2.0-77956960774
"Zhu Z., Han P., Yu C., Li L.","A dynamic genetic algorithm for clustering Web pages",2010,"2nd International Conference on Software Engineering and Data Mining, SEDM 2010",,, 5542870,"506","511",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956548950&partnerID=40&md5=c58fe50795a57c920de5ad5566587db6","Clustering algorithm; GA; Web page","Clustering results; Clustering web pages; Dynamic genetic algorithms; Fitness functions; GA; Genetic operators; Hybrid clustering algorithm; K-values; Number of clusters; Web page; Data mining; Function evaluation; Genetic algorithms; Mathematical operators; Software engineering; World Wide Web; Clustering algorithms",Conference Paper,,Scopus,2-s2.0-77956548950
"Meekhof T., Soule T.","Noise pressure: Systematic overestimation of population fitness in genetic algorithms with noisy fitness functions",2010,"Proceedings of the 12th Annual Genetic and Evolutionary Computation Conference, GECCO '10",,,,"83","84",,,10.1145/1830483.1830635,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955908192&doi=10.1145%2f1830483.1830635&partnerID=40&md5=0bfac454e6b66bf0818e0eb9aa09760a","Algorithms; Theory","Distributed noise; Eliminating noise; Fitness functions; Noise pressure; Over sampling; Real-world problem; Selection pressures; Theory; Function evaluation; Health; Normal distribution; Genetic algorithms",Conference Paper,,Scopus,2-s2.0-77955908192
"Yu E.L., Suganthan P.N.","Ensemble of niching algorithms",2010,"Information Sciences","180","15",,"2815","2833",,87,10.1016/j.ins.2010.04.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049316273&doi=10.1016%2fj.ins.2010.04.008&partnerID=40&md5=4aada36ae1d182b48f6a20841c565534","Clearing; Dynamic fitness sharing; Ensemble; Genetic algorithm; Multimodal optimization; Niching; Pattern search; Real-coded sequential niching memetic algorithm; Restricted competition selection; Restricted tournament selection; Spatially-structured evolutionary algorithm; Species conserving genetic algorithm","Clearing; Ensemble; Multi-modal optimization; Niching; Pattern search; Real-coded; Restricted competition selection; Spatially-structured evolutionary algorithm; Species conserving genetic algorithms; Tournament selection; Competition; Genetic algorithms; Optimization; Structured programming",Article,,Scopus,2-s2.0-78049316273
"Mininno E., Neri F.","A memetic Differential Evolution approach in noisy optimization",2010,"Memetic Computing","2","2",,"111","135",,24,10.1007/s12293-009-0029-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952403873&doi=10.1007%2fs12293-009-0029-4&partnerID=40&md5=22d0726dca955d3e3f06a4fc1c74ce92","Differential Evolution; Noise analysis; Noisy optimization; Scale factor local search",,Article,,Scopus,2-s2.0-77952403873
"Moon J., Moon H.-J., Cho Y.","A history-based scheduler for dynamic load balancing on distributed VOD server environments",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6018 LNCS","PART 3",,"269","276",,1,10.1007/978-3-642-12179-1-24,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952313906&doi=10.1007%2f978-3-642-12179-1-24&partnerID=40&md5=6be508071253c0a5e3521b1c6d3aeff2","Distributed system; Genetic algorithm; Load balancing; VOD","Distance learning; Distributed system; Distributed systems; Dynamic genetic algorithms; Dynamic load balancing; Fitness functions; History data; Load balancing algorithms; Load-Balancing; Local service; Multimedia data; Network bandwidth; Network technologies; Real time; Server loads; Service environment; System environment; User access patterns; User demands; VOD servers; Workload patterns; Distance education; Function evaluation; Genetic algorithms; HTTP; Multimedia services; Parallel architectures; Servers; Video on demand",Conference Paper,,Scopus,2-s2.0-77952313906
"Richter H.","Evolutionary optimization and dynamic fitness landscapes: From reaction-diffusion systems to chaotic CML",2010,"Studies in Computational Intelligence","267",,,"409","446",,6,10.1007/978-3-642-10707-8_13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950274592&doi=10.1007%2f978-3-642-10707-8_13&partnerID=40&md5=3424cdc5b87e21f967afd6f3c1fae57d",,,Article,,Scopus,2-s2.0-77950274592
"Peng X.-G., Gao X.-G.","Memory enhanced estimation of distribution algorithm in dynamic environments",2010,"Kongzhi yu Juece/Control and Decision","25","3",,"339","345+350",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951930690&partnerID=40&md5=6514e9658618480e054ef447875d1c03","Diversity compensation; Dynamic environments; Dynamic optimization problem; Estimation of distribution algorithm; Memory scheme","Compensation method; Dynamic environments; Dynamic optimization problems; Environment identification; Estimation of distribution algorithms; Memory element; Memory management; Memory schemes; Population diversity; Probability models; Two-state; Universal properties; Estimation; Optimization; Probability distributions; Evolutionary algorithms",Article,,Scopus,2-s2.0-77951930690
"Zeng H., Li Y., Xia X.","RETRACTED ARTICLE: Optimization of fuzzy controller based on dynamic evolutionary algorithm",2010,"Proceedings - 2010 International Conference on Intelligent Computing and Cognitive Informatics, ICICCI 2010",,, 5565948,"400","403",,,10.1109/ICICCI.2010.61,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958502941&doi=10.1109%2fICICCI.2010.61&partnerID=40&md5=db33bf7356ea0bb333b1d8b8d71946e7","Dynamic evolutionary algorithm; Fuzzy control; Multi-parent crossover; Multiobjectives optimization","Controllers; Fuzzy control; Information science; Intelligent computing; Mathematical operators; Optimization; Phase space methods; Fuzzy control rules; Fuzzy controllers; Multi objective; Multi-objectives optimization; Multi-parent crossover; Multiple objectives; New options; ON dynamics; Phase spaces; Quantification factors; Scale Factor; Simulation result; Species diversity; Steady state errors; Steady-state response; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-77958502941
"Larkin F., Ryan C.","Avoiding the pitfalls of noisy fitness functions with genetic algorithms",2009,"Proceedings of the 11th Annual Genetic and Evolutionary Computation Conference, GECCO-2009",,,,"1861","1862",,,10.1145/1569901.1570204,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72749124481&doi=10.1145%2f1569901.1570204&partnerID=40&md5=ad252b1a2b4cb85b4b9bd6af70546fdb","Clones; Genetic algorithms; Noisy fitness functions; Performance; The glass ceiling","Fitness functions; Glass ceiling; Noisy fitness functions; Population sizes; Ceilings; Genetic algorithms; Glass; Health; Population statistics; Function evaluation",Conference Paper,,Scopus,2-s2.0-72749124481
"Fernandez-Marquez J.L., Arcos J.L.","An evaporation mechanism for dynamic and noisy multimodal optimization",2009,"Proceedings of the 11th Annual Genetic and Evolutionary Computation Conference, GECCO-2009",,,,"17","24",,11,10.1145/1569901.1569905,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72749122710&doi=10.1145%2f1569901.1569905&partnerID=40&md5=6a10b57f4b16559a30b819908a96f158","Multimodal dynamic environments; Noisy functions; Particle swarm optimization","Environment change; Fitness functions; Imprecise information; Multi-modal optimization; Multimodal dynamic environments; Multimodal dynamics; Noisy environment; Noisy functions; Physical sensors; PSO algorithms; Real-world problem; Evaporation; Function evaluation; Vapors; Particle swarm optimization (PSO)",Conference Paper,,Scopus,2-s2.0-72749122710
"Zhang C., Ma Y.","Dynamic genetic algorithm for search in web service compositions based on global QoS evaluations",2009,"International Conference on Scalable Computing and Communications - The 8th International Conference on Embedded Computing, ScalCom-EmbeddedCom 2009",,, 5341877,"644","649",,3,10.1109/EmbeddedCom-ScalCom.2009.123,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449165901&doi=10.1109%2fEmbeddedCom-ScalCom.2009.123&partnerID=40&md5=6695003b1953232cdb8c06d7b92587f0","Fitness; Genetic algorithm; Global QoS evaluations; Web service selection","Coding scheme; Composite services; Dynamic evolution; Dynamic genetic algorithms; Evaluation policy; Fitness evaluations; Global QoS evaluations; Global quality; Improved genetic algorithms; QoS constraints; QoS evaluation; QoS requirements; Relation matrix; Simulation result; Web service composition; Web service selection; Computer science; Genetic algorithms; Health; Web services; Quality of service",Conference Paper,,Scopus,2-s2.0-72449165901
"Richter H.","Change detection in dynamic fitness landscapes: An immunological approach",2009,"2009 World Congress on Nature and Biologically Inspired Computing, NABIC 2009 - Proceedings",,, 5393482,"719","724",,6,10.1109/NABIC.2009.5393482,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949625501&doi=10.1109%2fNABIC.2009.5393482&partnerID=40&md5=a2806ee895a3003268a90dcb939cef01",,"Artificial Immune System; Change detection; Change detectors; Dynamic optimization problems; Fitness landscape; Management scheme; Negative selection algorithm; Numerical experiments; Detectors; Evolutionary algorithms; Signal detection; Health",Conference Paper,,Scopus,2-s2.0-77949625501
"Wang B., Zhang Q., Wei X.","On the lower bounds of DNA word sets for DNA computing",2009,"BIC-TA 2009 - Proceedings, 2009 4th International Conference on Bio-Inspired Computing: Theories and Applications",,, 5338069,"384","388",,,10.1109/BICTA.2009.5338069,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-74049139608&doi=10.1109%2fBICTA.2009.5338069&partnerID=40&md5=a7ed1506b9360e9f9165d6723f1ad0c3",,"Biochemical reactions; DNA coding; DNA-computing; Dynamic genetic algorithms; False negatives; False positive; Lower bounds; Research fields; Calculations; Computation theory; DNA; Genes; Genetic programming; DNA sequences",Conference Paper,,Scopus,2-s2.0-74049139608
"Suresh K., Kundu D., Ghosh S., Das S., Abraham A.","IWO with increased deviation and stochastic selection (IWO-ID-SS) for global optimization of noisy fitness functions",2009,"2009 World Congress on Nature and Biologically Inspired Computing, NABIC 2009 - Proceedings",,, 5393694,"215","220",,7,10.1109/NABIC.2009.5393694,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949600054&doi=10.1109%2fNABIC.2009.5393694&partnerID=40&md5=b444df2efb0615ab56f619c80749ec6a","Invasive Weed Optimization (IWO); Noisy landscapes; Stochastic selection","Canonical PSO; Continuous spaces; Fitness functions; Function Optimization; Gaussian noise; Globaloptimum; Invasive weed optimization; Performance comparison; Real-coded; Real-world problem; Search heuristics; Standard deviation; Stochastic selection; Evolutionary algorithms; Function evaluation; Gaussian noise (electronic); Global optimization; Heuristic algorithms; Stochastic systems; Optimization",Conference Paper,,Scopus,2-s2.0-77949600054
